date,product,category,region,sales,units,profit,discount
2024-08-04,Standing Desk,Furniture,North,599.00,6,179.70,0.08
2024-08-06,Monitor 27in,Electronics,South,320.00,16,96.00,0.10
2024-08-08,Laptop Pro,Electronics,East,1200.50,9,360.15,0.05
2024-08-10,Mechanical Keyboard,Electronics,West,129.99,20,39.00,0.05
2024-08-12,Webcam HD,Electronics,North,89.99,14,26.99,0.10
2024-08-14,Laptop Bag,Accessories,South,59.00,30,17.70,0.0
2024-08-16,Ergonomic Chair,Furniture,East,450.00,8,135.00,0.05
2024-08-18,Wireless Mouse,Electronics,West,45.99,40,18.40,0.10
2024-08-20,Desk Lamp,Furniture,North,39.99,35,12.00,0.0
2024-08-22,Wireless Headphones,Electronics,South,199.99,18,60.00,0.15
2024-08-24,Sticky Notes,Stationery,East,3.99,280,1.60,0.0
2024-08-26,USB-C Hub,Electronics,West,35.00,65,14.00,0.0
2024-08-28,Laptop Pro,Electronics,North,1200.50,10,360.15,0.05
2024-08-30,Office Chair,Furniture,South,349.00,7,104.70,0.0
2024-09-01,Notebook Set,Stationery,East,12.50,140,5.00,0.0
2024-09-03,Standing Desk,Furniture,West,599.00,4,179.70,0.08
2024-09-05,Monitor 27in,Electronics,North,320.00,18,96.00,0.10
2024-09-07,Laptop Pro,Electronics,South,1200.50,7,360.15,0.05
2024-09-09,Mechanical Keyboard,Electronics,East,129.99,22,39.00,0.05
2024-09-11,Webcam HD,Electronics,West,89.99,16,26.99,0.10
2024-09-13,Laptop Bag,Accessories,North,59.00,32,17.70,0.0
2024-09-15,Ergonomic Chair,Furniture,South,450.00,9,135.00,0.05
2024-09-17,Wireless Mouse,Electronics,East,45.99,45,18.40,0.10
2024-09-19,Desk Lamp,Furniture,West,39.99,38,12.00,0.0
2024-09-21,Wireless Headphones,Electronics,North,199.99,20,60.00,0.15
2024-09-23,Sticky Notes,Stationery,South,3.99,320,1.60,0.0
2024-09-25,USB-C Hub,Electronics,East,35.00,70,14.00,0.0
2024-09-27,Laptop Pro,Electronics,West,1200.50,8,360.15,0.05
2024-09-29,Office Chair,Furniture,North,349.00,10,104.70,0.0
2024-10-01,Notebook Set,Stationery,South,12.50,160,5.00,0.0
2024-10-03,Standing Desk,Furniture,East,599.00,7,179.70,0.08
2024-10-05,Monitor 27in,Electronics,West,320.00,20,96.00,0.10
2024-10-07,Laptop Pro,Electronics,North,1200.50,11,360.15,0.05
2024-10-09,Mechanical Keyboard,Electronics,South,129.99,24,39.00,0.05
2024-10-11,Webcam HD,Electronics,East,89.99,18,26.99,0.10
2024-10-13,Laptop Bag,Accessories,West,59.00,35,17.70,0.0
2024-10-15,Ergonomic Chair,Furniture,North,450.00,10,135.00,0.05
2024-10-17,Wireless Mouse,Electronics,South,45.99,50,18.40,0.10
2024-10-19,Desk Lamp,Furniture,East,39.99,42,12.00,0.0
2024-10-21,Wireless Headphones,Electronics,West,199.99,22,60.00,0.15
2024-10-23,Sticky Notes,Stationery,North,3.99,350,1.60,0.0
2024-10-25,USB-C Hub,Electronics,South,35.00,75,14.00,0.0
2024-10-27,Laptop Pro,Electronics,East,1200.50,12,360.15,0.05
2024-10-29,Office Chair,Furniture,West,349.00,8,104.70,0.0
2024-10-31,Notebook Set,Stationery,North,12.50,170,5.00,0.0
2024-11-02,Standing Desk,Furniture,South,599.00,5,179.70,0.08
2024-11-04,Monitor 27in,Electronics,East,320.00,22,96.00,0.10
2024-11-06,Laptop Pro,Electronics,West,1200.50,9,360.15,0.05
2024-11-08,Mechanical Keyboard,Electronics,North,129.99,26,39.00,0.05
2024-11-10,Webcam HD,Electronics,South,89.99,20,26.99,0.10
2024-11-12,Laptop Bag,Accessories,East,59.00,38,17.70,0.0
2024-11-14,Ergonomic Chair,Furniture,West,450.00,11,135.00,0.05
2024-11-16,Wireless Mouse,Electronics,North,45.99,55,18.40,0.10
2024-11-18,Desk Lamp,Furniture,South,39.99,45,12.00,0.0
2024-11-20,Wireless Headphones,Electronics,East,199.99,25,60.00,0.15
2024-11-22,Sticky Notes,Stationery,West,3.99,400,1.60,0.0
2024-11-24,USB-C Hub,Electronics,North,35.00,80,14.00,0.0
2024-11-26,Laptop Pro,Electronics,South,1200.50,14,360.15,0.05
2024-11-28,Office Chair,Furniture,East,349.00,12,104.70,0.0
2024-11-30,Notebook Set,Stationery,West,12.50,200,5.00,0.0
2024-12-02,Standing Desk,Furniture,North,599.00,8,179.70,0.08
2024-12-04,Monitor 27in,Electronics,South,320.00,25,96.00,0.10
2024-12-06,Laptop Pro,Electronics,East,1200.50,15,360.15,0.05
2024-12-08,Mechanical Keyboard,Electronics,West,129.99,30,39.00,0.05
2024-12-10,Webcam HD,Electronics,North,89.99,22,26.99,0.10
2024-12-12,Laptop Bag,Accessories,South,59.00,40,17.70,0.0
2024-12-14,Ergonomic Chair,Furniture,East,450.00,13,135.00,0.05
2024-12-16,Wireless Mouse,Electronics,West,45.99,60,18.40,0.10
2024-12-18,Desk Lamp,Furniture,North,39.99,50,12.00,0.0
2024-12-20,Wireless Headphones,Electronics,South,199.99,30,60.00,0.15
2024-12-22,Sticky Notes,Stationery,East,3.99,500,1.60,0.0
2024-12-24,USB-C Hub,Electronics,West,35.00,90,14.00,0.0
2024-12-26,Laptop Pro,Electronics,North,1200.50,18,360.15,0.05
2024-12-28,Office Chair,Furniture,South,349.00,14,104.70,0.0
2024-12-30,Notebook Set,Stationery,East,12.50,220,5.00,0.0
